name,type,value,date
Lendl,1,2913,1990-01-01
Becker,2,2279,1990-01-01
Edberg,3,2111,1990-01-01
Gilbert,4,1398,1990-01-01
Mcenroe,5,1354,1990-01-01
Chang,6,1328,1990-01-01
Krickstein,7,1217,1990-01-01
Agassi,8,1160,1990-01-01
Berger,9,1039,1990-01-01
Mancini,10,1024,1990-01-01
Lendl,1,2913,1990-01-08
Becker,2,2279,1990-01-08
Edberg,3,2111,1990-01-08
Gilbert,4,1398,1990-01-08
Mcenroe,5,1354,1990-01-08
Chang,6,1328,1990-01-08
Krickstein,7,1217,1990-01-08
Agassi,8,1160,1990-01-08
Berger,9,1039,1990-01-08
Mancini,10,1024,1990-01-08
Lendl,1,2913,1990-01-15
Becker,2,2320,1990-01-15
Edberg,3,2111,1990-01-15
Gilbert,4,1398,1990-01-15
Mcenroe,5,1354,1990-01-15
Chang,6,1328,1990-01-15
Krickstein,7,1227,1990-01-15
Agassi,8,1160,1990-01-15
Berger,9,1039,1990-01-15
Mancini,10,1024,1990-01-15
Lendl,1,3030,1990-01-29
Becker,2,2410,1990-01-29
Edberg,3,2357,1990-01-29
Gilbert,4,1398,1990-01-29
Chang,5,1328,1990-01-29
Mcenroe,6,1321,1990-01-29
Krickstein,7,1221,1990-01-29
Agassi,8,1160,1990-01-29
Noah,9,1079,1990-01-29
Wilander,10,1075,1990-01-29
Lendl,1,3141,1990-02-12
Becker,2,2410,1990-02-12
Edberg,3,2357,1990-02-12
Mcenroe,4,1412,1990-02-12
Gilbert,5,1398,1990-02-12
Chang,6,1328,1990-02-12
Agassi,7,1301,1990-02-12
Krickstein,8,1246,1990-02-12
Wilander,9,1075,1990-02-12
Berger,10,1048,1990-02-12
Lendl,1,3338,1990-02-19
Becker,2,2435,1990-02-19
Edberg,3,2357,1990-02-19
Mcenroe,4,1506,1990-02-19
Gilbert,5,1382,1990-02-19
Agassi,6,1284,1990-02-19
Krickstein,7,1281,1990-02-19
Mayotte,8,1274,1990-02-19
Chang,9,1258,1990-02-19
Berger,10,1105,1990-02-19
Lendl,1,3420,1990-02-26
Becker,2,2594,1990-02-26
Edberg,3,2357,1990-02-26
Gilbert,4,1371,1990-02-26
Mcenroe,5,1359,1990-02-26
Krickstein,6,1281,1990-02-26
Chang,7,1237,1990-02-26
Agassi,8,1225,1990-02-26
Mayotte,9,1164,1990-02-26
Berger,10,1160,1990-02-26
Lendl,1,3420,1990-03-05
Becker,2,2594,1990-03-05
Edberg,3,2357,1990-03-05
Gilbert,4,1510,1990-03-05
Mcenroe,5,1359,1990-03-05
Krickstein,6,1281,1990-03-05
Chang,7,1237,1990-03-05
Agassi,8,1225,1990-03-05
Mayotte,9,1164,1990-03-05
Berger,10,1160,1990-03-05
Lendl,1,3377,1990-03-12
Becker,2,2781,1990-03-12
Edberg,3,2546,1990-03-12
Gilbert,4,1510,1990-03-12
Agassi,5,1474,1990-03-12
Mcenroe,6,1359,1990-03-12
Krickstein,7,1325,1990-03-12
Chang,8,1237,1990-03-12
Berger,9,1215,1990-03-12
Mayotte,10,1164,1990-03-12
Lendl,1,3377,1990-03-26
Edberg,2,2782,1990-03-26
Becker,3,2776,1990-03-26
Agassi,4,1825,1990-03-26
Gilbert,5,1476,1990-03-26
Mcenroe,6,1359,1990-03-26
Krickstein,7,1325,1990-03-26
Berger,8,1216,1990-03-26
Chang,9,1156,1990-03-26
Mayotte,10,1102,1990-03-26
Lendl,1,3206,1990-04-09
Edberg,2,2782,1990-04-09
Becker,3,2776,1990-04-09
Agassi,4,1825,1990-04-09
Gilbert,5,1566,1990-04-09
Mcenroe,6,1359,1990-04-09
Krickstein,7,1280,1990-04-09
Berger,8,1232,1990-04-09
Chang,9,1156,1990-04-09
Sanchez,10,1108,1990-04-09
Lendl,1,3201,1990-04-16
Edberg,2,2891,1990-04-16
Becker,3,2776,1990-04-16
Agassi,4,1825,1990-04-16
Gilbert,5,1650,1990-04-16
Krickstein,6,1517,1990-04-16
Berger,7,1271,1990-04-16
Mcenroe,8,1256,1990-04-16
Gomez,9,1226,1990-04-16
Chang,10,1218,1990-04-16
Lendl,1,3201,1990-04-23
Edberg,2,2891,1990-04-23
Becker,3,2776,1990-04-23
Agassi,4,1825,1990-04-23
Gilbert,5,1650,1990-04-23
Krickstein,6,1517,1990-04-23
Berger,7,1271,1990-04-23
Mcenroe,8,1256,1990-04-23
Gomez,9,1226,1990-04-23
Chang,10,1218,1990-04-23
Lendl,1,3201,1990-04-30
Edberg,2,2891,1990-04-30
Becker,3,2692,1990-04-30
Agassi,4,1825,1990-04-30
Gilbert,5,1650,1990-04-30
Krickstein,6,1517,1990-04-30
Sanchez,7,1362,1990-04-30
Berger,8,1271,1990-04-30
Mcenroe,9,1256,1990-04-30
Gomez,10,1255,1990-04-30
Lendl,1,3073,1990-05-07
Edberg,2,2861,1990-05-07
Becker,3,2692,1990-05-07
Agassi,4,1720,1990-05-07
Gilbert,5,1630,1990-05-07
Krickstein,6,1492,1990-05-07
Gomez,7,1388,1990-05-07
Sanchez,8,1362,1990-05-07
Berger,9,1271,1990-05-07
Mcenroe,10,1256,1990-05-07
Lendl,1,2932,1990-05-14
Edberg,2,2861,1990-05-14
Becker,3,2796,1990-05-14
Agassi,4,1751,1990-05-14
Gilbert,5,1630,1990-05-14
Krickstein,6,1506,1990-05-14
Gomez,7,1388,1990-05-14
Sanchez,8,1364,1990-05-14
Mcenroe,9,1256,1990-05-14
Berger,10,1238,1990-05-14
Lendl,1,2932,1990-05-21
Edberg,2,2861,1990-05-21
Becker,3,2796,1990-05-21
Gilbert,4,1639,1990-05-21
Agassi,5,1557,1990-05-21
Gomez,6,1543,1990-05-21
Krickstein,7,1535,1990-05-21
Sanchez,8,1499,1990-05-21
Muster,9,1325,1990-05-21
Chesnokov,10,1315,1990-05-21
Lendl,1,2932,1990-05-28
Edberg,2,2861,1990-05-28
Becker,3,2796,1990-05-28
Gilbert,4,1639,1990-05-28
Agassi,5,1557,1990-05-28
Krickstein,6,1535,1990-05-28
Gomez,7,1529,1990-05-28
Sanchez,8,1499,1990-05-28
Muster,9,1325,1990-05-28
Chesnokov,10,1315,1990-05-28
Lendl,1,2909,1990-06-11
Becker,2,2578,1990-06-11
Edberg,3,2544,1990-06-11
Gomez,4,2005,1990-06-11
Agassi,5,1896,1990-06-11
Gilbert,6,1639,1990-06-11
Muster,7,1570,1990-06-11
Krickstein,8,1544,1990-06-11
Sanchez,9,1499,1990-06-11
Mcenroe,10,1256,1990-06-11
Lendl,1,2976,1990-06-18
Becker,2,2752,1990-06-18
Edberg,3,2606,1990-06-18
Gomez,4,2005,1990-06-18
Agassi,5,1896,1990-06-18
Gilbert,6,1639,1990-06-18
Muster,7,1570,1990-06-18
Krickstein,8,1544,1990-06-18
Sanchez,9,1499,1990-06-18
Mcenroe,10,1341,1990-06-18
Lendl,1,2976,1990-06-25
Becker,2,2752,1990-06-25
Edberg,3,2606,1990-06-25
Gomez,4,2005,1990-06-25
Agassi,5,1896,1990-06-25
Gilbert,6,1639,1990-06-25
Muster,7,1570,1990-06-25
Krickstein,8,1544,1990-06-25
Sanchez,9,1499,1990-06-25
Mcenroe,10,1341,1990-06-25
Lendl,1,2995,1990-07-09
Edberg,2,2783,1990-07-09
Becker,3,2639,1990-07-09
Gomez,4,2005,1990-07-09
Agassi,5,1896,1990-07-09
Gilbert,6,1728,1990-07-09
Muster,7,1570,1990-07-09
Krickstein,8,1513,1990-07-09
Sanchez,9,1499,1990-07-09
Jaite,10,1151,1990-07-09
Lendl,1,2995,1990-07-16
Edberg,2,2783,1990-07-16
Becker,3,2639,1990-07-16
Agassi,4,1825,1990-07-16
Gomez,5,1822,1990-07-16
Gilbert,6,1728,1990-07-16
Muster,7,1570,1990-07-16
Krickstein,8,1512,1990-07-16
Sanchez,9,1512,1990-07-16
Jaite,10,1226,1990-07-16
Lendl,1,2995,1990-07-23
Edberg,2,2783,1990-07-23
Becker,3,2639,1990-07-23
Agassi,4,2056,1990-07-23
Gomez,5,1843,1990-07-23
Gilbert,6,1786,1990-07-23
Sanchez,7,1628,1990-07-23
Muster,8,1570,1990-07-23
Krickstein,9,1512,1990-07-23
Jaite,10,1226,1990-07-23
Lendl,1,2995,1990-07-30
Edberg,2,2783,1990-07-30
Becker,3,2639,1990-07-30
Agassi,4,2126,1990-07-30
Gomez,5,1843,1990-07-30
Gilbert,6,1723,1990-07-30
Sanchez,7,1634,1990-07-30
Muster,8,1570,1990-07-30
Krickstein,9,1512,1990-07-30
Berger,10,1250,1990-07-30
Lendl,1,2995,1990-08-06
Edberg,2,2905,1990-08-06
Becker,3,2653,1990-08-06
Agassi,4,2101,1990-08-06
Gomez,5,1843,1990-08-06
Muster,6,1602,1990-08-06
Gilbert,7,1570,1990-08-06
Sanchez,8,1531,1990-08-06
Krickstein,9,1512,1990-08-06
Chang,10,1266,1990-08-06
Edberg,1,3209,1990-08-13
Lendl,2,2995,1990-08-13
Becker,3,2653,1990-08-13
Agassi,4,2145,1990-08-13
Gomez,5,1982,1990-08-13
Gilbert,6,1742,1990-08-13
Muster,7,1602,1990-08-13
Sanchez,8,1531,1990-08-13
Krickstein,9,1469,1990-08-13
Chang,10,1358,1990-08-13
Edberg,1,3070,1990-08-20
Becker,2,2844,1990-08-20
Lendl,3,2813,1990-08-20
Agassi,4,2103,1990-08-20
Gomez,5,1943,1990-08-20
Muster,6,1602,1990-08-20
Sanchez,7,1531,1990-08-20
Gilbert,8,1506,1990-08-20
Krickstein,9,1471,1990-08-20
Chesnokov,10,1309,1990-08-20
Edberg,1,3216,1990-08-27
Becker,2,2844,1990-08-27
Lendl,3,2813,1990-08-27
Agassi,4,2103,1990-08-27
Gomez,5,1949,1990-08-27
Muster,6,1602,1990-08-27
Sanchez,7,1531,1990-08-27
Gilbert,8,1512,1990-08-27
Krickstein,9,1471,1990-08-27
Chesnokov,10,1309,1990-08-27
Edberg,1,3195,1990-09-10
Becker,2,2665,1990-09-10
Lendl,3,2567,1990-09-10
Agassi,4,2292,1990-09-10
Gomez,5,1949,1990-09-10
Sampras,6,1718,1990-09-10
Muster,7,1638,1990-09-10
Sanchez,8,1552,1990-09-10
Gilbert,9,1512,1990-09-10
Krickstein,10,1372,1990-09-10
Edberg,1,3195,1990-09-17
Becker,2,2665,1990-09-17
Lendl,3,2567,1990-09-17
Agassi,4,2292,1990-09-17
Gomez,5,1949,1990-09-17
Sampras,6,1718,1990-09-17
Muster,7,1638,1990-09-17
Sanchez,8,1552,1990-09-17
Gilbert,9,1512,1990-09-17
Krickstein,10,1372,1990-09-17
Edberg,1,3195,1990-09-24
Becker,2,2665,1990-09-24
Lendl,3,2484,1990-09-24
Agassi,4,2292,1990-09-24
Gomez,5,1754,1990-09-24
Sampras,6,1718,1990-09-24
Muster,7,1625,1990-09-24
Sanchez,8,1552,1990-09-24
Gilbert,9,1473,1990-09-24
Ivanisevic,10,1337,1990-09-24
Edberg,1,3195,1990-10-01
Becker,2,2665,1990-10-01
Lendl,3,2359,1990-10-01
Agassi,4,2292,1990-10-01
Gomez,5,1754,1990-10-01
Sampras,6,1718,1990-10-01
Muster,7,1625,1990-10-01
Sanchez,8,1512,1990-10-01
Mcenroe,9,1478,1990-10-01
Gilbert,10,1477,1990-10-01
Edberg,1,3314,1990-10-08
Becker,2,2945,1990-10-08
Lendl,3,2492,1990-10-08
Agassi,4,2129,1990-10-08
Sampras,5,1718,1990-10-08
Gomez,6,1698,1990-10-08
Muster,7,1625,1990-10-08
Sanchez,8,1512,1990-10-08
Mcenroe,9,1478,1990-10-08
Gilbert,10,1416,1990-10-08
Edberg,1,3436,1990-10-15
Becker,2,3121,1990-10-15
Lendl,3,2712,1990-10-15
Agassi,4,2129,1990-10-15
Sampras,5,1718,1990-10-15
Gomez,6,1698,1990-10-15
Muster,7,1625,1990-10-15
Sanchez,8,1512,1990-10-15
Gilbert,9,1416,1990-10-15
Mcenroe,10,1390,1990-10-15